MS SubClass,Lot Frontage,Lot Area,Condition 1,Condition 2,House Style,Overall Qual,Roof Style,Mas Vnr Type,Mas Vnr Area,Exter Cond,Exter Cond,Bsmt Exposure,Bsmt Exposure,BsmtFin SF 2,Heating,Heating QC,Heating QC,Low Qual Fin SF,Full Bath,Full Bath,Bedroom AbvGr,Kitchen AbvGr,Functional,Garage Cars,Enclosed Porch,Screen Porch,Misc Val,Yr Sold,Sale Condition,SalePrice
90,60.0,7200,Norm,Norm,SFoyer,5,Gable,BrkFace,180.0,TA,TA,Gd,Gd,0.0,GasA,TA,TA,0,1,1,2,1,Typ,2.0,0,0,0,2007,Normal,140000
20,60.0,12450,RRAe,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2009,Normal,153000
50,,11700,Norm,Norm,1.5Fin,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,4,1,Min2,1.0,0,0,0,2008,Normal,198000
20,95.0,13015,Norm,Norm,1Story,5,Gable,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,2.0,0,0,0,2006,Normal,145000
20,106.0,12720,Norm,Norm,1Story,10,Hip,Stone,680.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,1,1,1,1,Typ,3.0,0,216,0,2008,Normal,615000
20,,11354,Norm,Norm,1Story,7,Gable,None,0.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,116,0,2007,Normal,270000
30,52.0,5825,Norm,Norm,1Story,4,Gable,BrkFace,108.0,Gd,Gd,Mn,Mn,0.0,GasA,Gd,Gd,0,1,1,1,1,Typ,2.0,32,0,0,2006,Normal,79900
120,61.0,7577,Norm,Norm,1Story,6,Gable,Stone,256.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2007,Normal,194700
60,,12227,PosN,Norm,2Story,6,Gable,BrkFace,424.0,Gd,Gd,No,No,0.0,GasA,TA,TA,0,2,2,4,1,Typ,2.0,0,0,0,2008,Normal,272000
20,74.0,9627,Norm,Norm,1Story,7,Gable,None,0.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2008,Normal,193000
20,,8339,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,,,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,0,0,1200,2007,Normal,106500
20,70.0,9170,Feedr,Norm,1Story,5,Hip,None,0.0,TA,TA,No,No,96.0,GasA,Ex,Ex,0,1,1,2,1,Typ,2.0,184,0,400,2007,Normal,140000
60,96.0,13262,Norm,Norm,2Story,8,Gable,Stone,186.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,3,3,4,1,Typ,3.0,0,0,0,2009,Normal,290000
20,87.0,13050,Norm,Norm,1Story,5,Flat,None,0.0,TA,TA,Av,Av,850.0,GasA,Ex,Ex,0,1,1,1,1,Typ,2.0,148,0,0,2006,Normal,164000
20,40.0,14330,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,596.0,GasA,TA,TA,0,2,2,2,1,Min2,2.0,239,227,0,2008,Normal,163000
70,50.0,9000,Artery,Norm,2Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,293,0,0,2006,Abnorml,124000
70,,11435,Norm,Norm,2Story,8,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Fa,Fa,0,1,1,3,1,Typ,2.0,0,0,0,2006,Normal,230000
20,62.0,7500,Norm,Norm,1Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2009,Normal,185000
20,80.0,12048,Norm,Norm,1Story,5,Gable,BrkFace,232.0,TA,TA,,,0.0,GasA,Gd,Gd,0,1,1,3,1,Typ,2.0,36,348,0,2006,Normal,135000
20,,16381,Norm,Norm,1Story,6,Gable,BrkFace,312.0,Gd,Gd,Av,Av,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,216,0,0,2006,Normal,223000
20,63.0,13072,RRAe,Norm,1Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,2.0,0,0,0,2006,Abnorml,142500
120,,3940,Norm,Norm,1Story,7,Hip,BrkFace,24.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,3.0,0,0,0,2008,Normal,219990
70,,10337,Norm,Norm,2Story,8,Hip,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,184900
60,79.0,11646,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2009,Normal,173000
20,105.0,15431,Norm,Norm,1Story,10,Hip,Stone,200.0,TA,TA,Gd,Gd,539.0,GasA,Ex,Ex,0,2,2,2,1,Typ,3.0,0,170,0,2009,Normal,555000
20,105.0,15431,Norm,Norm,1Story,10,Hip,BrkFace,400.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,3.0,0,175,0,2007,Normal,450000
20,,22692,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,2,2,3,1,Mod,2.0,0,0,0,2007,Normal,130000
60,62.0,7415,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2008,Normal,193000
50,70.0,10759,Feedr,Norm,1.5Fin,5,Gable,None,0.0,Gd,Gd,No,No,811.0,GasA,TA,TA,0,2,2,4,1,Typ,2.0,92,0,0,2008,Normal,140000
